State etc.,Population density
Alabama,37
Alaska,0
Arizona,23
Arkansas,22
California,97
Colorado,20
Connecticut,286
Delaware,187
Florida,145
Georgia,68
Hawaii,86
Idaho,7
Illinois,89
Indiana,71
Iowa,21
Kansas,14
Kentucky,43
Louisiana,41
Maine,16
Maryland,238
Massachusetts,336
Michigan,67
Minnesota,26
Mississippi,24
Missouri,34
Montana,2
Nebraska,9
Nevada,10
New Hampshire,57
New Jersey,470
New Mexico,6
New York,162
North Carolina,79
North Dakota,4
Ohio,109
Oklahoma,22
Oregon,16
Pennsylvania,110
Rhode Island,394
South Carolina,62
South Dakota,4
Tennessee,61
Texas,40
Utah,14
Vermont,26
Virginia,81
Washington,41
West Virginia,29
Wisconsin,41
Wyoming,2
